study	final_tissue	cancer_type	cancer_type_detailed	prefix	prefix_key_match
paac_jhu_2014	Pancreas	Pancreatic Cancer	Acinar Cell Carcinoma of the Pancreas	paac	Acinar Cell Carcinoma of the Pancreas
all_stjude_2015	Lymphoid	Leukemia	B-Cell Acute Lymphoid Leukemia	all	NA
all_stjude_2015	Lymphoid	Leukemia	Acute Myeloid Leukemia	all	NA
all_stjude_2015	Lymphoid	Leukemia	Acute Lymphoblastic Leukemia	all	NA
all_stjude_2015	Lymphoid	Leukemia	T-Cell Acute Lymphoid Leukemia	all	NA
all_stjude_2015	Lymphoid	Leukemia	Leukemia	all	NA
all_stjude_2015	Lymphoid	Leukemia	Acute Undifferentiated Leukemia	all	NA
all_stjude_2016	Lymphoid	Leukemia	Acute Lymphoid Leukemia	all	NA
acyc_fmi_2014	Head and Neck	Salivary Cancer	Adenoid Cystic Carcinoma	acyc	Adenoid Cystic Carcinoma
acbc_mskcc_2015	Breast	Invasive Breast Carcinoma	Adenoid Cystic Breast Cancer	acbc	Adenoid Cystic Breast Cancer
acc_tcga_pan_can_atlas_2018	Adrenal Gland	Adrenocortical Carcinoma	Adrenocortical Carcinoma	acc	Adrenocortical Carcinoma
sarc_tcga_pub	Soft Tissue	Soft Tissue Sarcoma	Myxofibrosarcoma	sarc	NA
sarc_tcga_pub	Soft Tissue	Soft Tissue Sarcoma	Leiomyosarcoma	sarc	NA
sarc_tcga_pub	Uterus	Uterine Sarcoma	Uterine Leiomyosarcoma	sarc	NA
sarc_tcga_pub	Peripheral Nervous System	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
sarc_tcga_pub	Soft Tissue	Soft Tissue Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
sarc_tcga_pub	Soft Tissue	Soft Tissue Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
sarc_tcga_pub	Soft Tissue	Soft Tissue Sarcoma	Synovial Sarcoma	sarc	NA
ampca_bcm_2016	Ampulla of Vater	Ampullary Cancer	Ampullary Carcinoma	ampca	Ampullary Carcinoma
odg_msk_2017	CNS/Brain	Glioma	Anaplastic Oligoastrocytoma	odg	Oligodendroglioma
odg_msk_2017	CNS/Brain	Glioma	Anaplastic Oligodendroglioma	odg	Oligodendroglioma
blca_mskcc_solit_2014	Bladder/Urinary Tract	Bladder Cancer	Bladder Urothelial Carcinoma	blca	Bladder Urothelial Carcinoma
blca_plasmacytoid_mskcc_2016	Bladder/Urinary Tract	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma 	blca	Bladder Urothelial Carcinoma
blca_tcga_pan_can_atlas_2018	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	blca	Bladder Urothelial Carcinoma
lgg_tcga_pan_can_atlas_2018	CNS/Brain	Diffuse Glioma	Oligoastrocytoma	lgg	NA
lgg_tcga_pan_can_atlas_2018	CNS/Brain	Diffuse Glioma	Astrocytoma	lgg	NA
lgg_tcga_pan_can_atlas_2018	CNS/Brain	Diffuse Glioma	Oligodendroglioma	lgg	NA
lgg_tcga_pan_can_atlas_2018	CNS/Brain	Encapsulated Glioma	Low-Grade Glioma (NOS)	lgg	NA
lgg_tcga	CNS/Brain	Glioma	Oligoastrocytoma	lgg	NA
lgg_tcga	CNS/Brain	Glioma	Astrocytoma	lgg	NA
lgg_tcga	CNS/Brain	Glioma	Anaplastic Astrocytoma	lgg	NA
lgg_tcga	CNS/Brain	Glioma	Oligodendroglioma	lgg	NA
lgg_tcga	CNS/Brain	Glioma	Diffuse Glioma	lgg	NA
brca_metabric	Breast	Breast Cancer	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer	Breast Mixed Ductal and Lobular Carcinoma	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer		brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer	Breast Invasive Lobular Carcinoma	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer	Breast Invasive Mixed Mucinous Carcinoma	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer	Breast	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Sarcoma		brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Cancer	Metaplastic Breast Cancer	brca	Invasive Breast Carcinoma
brca_metabric	Breast	Breast Sarcoma	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
breast_msk_2018	Breast	Breast Cancer, NOS	Breast	breast	Breast
breast_msk_2018	Breast	Breast Cancer	Breast Invasive Cancer, NOS	breast	Breast
breast_msk_2018	Breast	Breast Cancer	Invasive Breast Carcinoma	breast	Breast
breast_msk_2018	Breast	Breast Cancer	Adenoid Cystic Breast Cancer	breast	Breast
bfn_duke_nus_2015	Breast	Breast Sarcoma	Benign Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
bfn_duke_nus_2015	Breast	Breast Sarcoma	Borderline Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
bfn_duke_nus_2015	Breast	Breast Sarcoma	Malignant Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
brca_broad	Breast	Breast Cancer	Infiltrating Ductal Carcinoma	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Infiltrating Lobular Carcinoma	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Mucinous Carcinoma	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Medullary Breast Carcinoma	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Ductal Carcinoma In Situ (DCIS)	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Mixed Carcinoma	brca	Invasive Breast Carcinoma
brca_broad	Breast	Breast Cancer	Infiltrating Tubular Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Breast Invasive Mixed Mucinous Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Breast Invasive Carcinoma (NOS)	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Metaplastic Breast Cancer	brca	Invasive Breast Carcinoma
brca_tcga_pan_can_atlas_2018	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga	Breast	Breast Cancer	Paget Disease of the Nipple	brca	Invasive Breast Carcinoma
