cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Acute myeloid leukemias B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Acute myeloid leukemias	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Adrenal TumorAdrenocortical carcinoma	Adrenal Gland	mixed_pipseq_2017	Adrenal Tumor	Adrenocortical carcinoma	mixed	Mixed Cancer Types
Adrenocortical AdenomaAdrenocortical Adenoma	Adrenal Gland	msk_impact_2017	Adrenocortical Adenoma	Adrenocortical Adenoma	msk	NA
Adrenocortical carcinoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Adrenocortical carcinoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Adrenocortical CarcinomaAdrenocortical Carcinoma	Adrenal Gland	acc_tcga_pan_can_atlas_2018	Adrenocortical Carcinoma	Adrenocortical Carcinoma	acc	Adrenocortical Carcinoma
Ampullary CancerAmpullary Carcinoma	Ampulla of Vater	ampca_bcm_2016	Ampullary Cancer	Ampullary Carcinoma	ampca	Ampullary Carcinoma
Ampullary CarcinomaAmpullary Carcinoma	Ampulla of Vater	summit_2018	Ampullary Carcinoma	Ampullary Carcinoma	summit	NA
Ampullary CarcinomaPancreatobiliary Ampullary Carcinoma	Ampulla of Vater	msk_impact_2017	Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma	msk	NA
Anal CancerAnal Squamous Cell Carcinoma	Bowel	msk_impact_2017	Anal Cancer	Anal Squamous Cell Carcinoma	msk	NA
Appendiceal CancerAppendiceal Adenocarcinoma	Appendix	msk_impact_2017	Appendiceal Cancer	Appendiceal Adenocarcinoma	msk	NA
Appendiceal CancerGoblet Cell Carcinoid of the Appendix	Appendix	msk_impact_2017	Appendiceal Cancer	Goblet Cell Carcinoid of the Appendix	msk	NA
Appendiceal CancerMucinous Adenocarcinoma of the Appendix	Appendix	msk_impact_2017	Appendiceal Cancer	Mucinous Adenocarcinoma of the Appendix	msk	NA
Appendiceal CancerSignet Ring Cell Type of the Appendix	Appendix	msk_impact_2017	Appendiceal Cancer	Signet Ring Cell Type of the Appendix	msk	NA
Atypial teratoid/rhabdoid tumor B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Atypial teratoid/rhabdoid tumor	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
B-cell acute lymphoblastic leukemia, hypodiploid B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	B-cell acute lymphoblastic leukemia, hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
B-cell acute lymphoblastic leukemia, non-hypodiploid B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	B-cell acute lymphoblastic leukemia, non-hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
B-Lymphoblastic Leukemia/LymphomaB-Lymphoblastic Leukemia/Lymphoma	Lymphoid	all_stjude_2013	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	all	NA
Biliary Tract Cancer, NOSBiliary Tract	Biliary Tract	summit_2018	Biliary Tract Cancer, NOS	Biliary Tract	summit	NA
Bladder CancerBladder Adenocarcinoma	Bladder/Urinary Tract	msk_impact_2017	Bladder Cancer	Bladder Adenocarcinoma	msk	NA
Bladder CancerBladder Squamous Cell Carcinoma	Bladder/Urinary Tract	msk_impact_2017	Bladder Cancer	Bladder Squamous Cell Carcinoma	msk	NA
Bladder CancerBladder Urothelial Carcinoma	Bladder/Urinary Tract	blca_mskcc_solit_2014	Bladder Cancer	Bladder Urothelial Carcinoma	blca	Bladder Urothelial Carcinoma
Bladder CancerPlasmacytoid/Signet Ring Cell Bladder Carcinoma	Bladder/Urinary Tract	msk_impact_2017	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	msk	NA
