study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
1	paac_jhu_2014	Pancreatic Cancer	Acinar Cell Carcinoma of the Pancreas	paac	Acinar Cell Carcinoma of the Pancreas
24	mel_tsam_liang_2017	Melanoma	Acral Melanoma	mel	Melanoma
62	all_stjude_2015	Leukemia	B-Cell Acute Lymphoid Leukemia	all	NA
66	all_stjude_2015	Leukemia	Acute Myeloid Leukemia	all	NA
88	all_stjude_2015	Leukemia	Acute Lymphoblastic Leukemia	all	NA
96	all_stjude_2015	Leukemia	T-Cell Acute Lymphoid Leukemia	all	NA
114	all_stjude_2015	Leukemia	Leukemia	all	NA
129	all_stjude_2015	Leukemia	Acute Undifferentiated Leukemia	all	NA
155	all_stjude_2016	Leukemia	Acute Lymphoid Leukemia	all	NA
828	acyc_fmi_2014	Salivary Cancer	Adenoid Cystic Carcinoma	acyc	Adenoid Cystic Carcinoma
1077	acbc_mskcc_2015	Invasive Breast Carcinoma	Adenoid Cystic Breast Cancer	acbc	Adenoid Cystic Breast Cancer
1089	acc_tcga_pan_can_atlas_2018	Adrenocortical Carcinoma	Adrenocortical Carcinoma	acc	Adrenocortical Carcinoma
1273	sarc_tcga_pub	Soft Tissue Sarcoma	Myxofibrosarcoma	sarc	NA
1274	sarc_tcga_pub	Soft Tissue Sarcoma	Leiomyosarcoma	sarc	NA
1275	sarc_tcga_pub	Uterine Sarcoma	Uterine Leiomyosarcoma	sarc	NA
1276	sarc_tcga_pub	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
1277	sarc_tcga_pub	Soft Tissue Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
1278	sarc_tcga_pub	Soft Tissue Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
1305	sarc_tcga_pub	Soft Tissue Sarcoma	Synovial Sarcoma	sarc	NA
1479	ampca_bcm_2016	Ampullary Cancer	Ampullary Carcinoma	ampca	Ampullary Carcinoma
1639	odg_msk_2017	Glioma	Anaplastic Oligoastrocytoma	odg	Oligodendroglioma
1640	odg_msk_2017	Glioma	Anaplastic Oligodendroglioma	odg	Oligodendroglioma
